Unnamed: 0,FTHG,FTAG,FTR,HST,AST,HC,AC,B365H,B365D,B365A,HC.1,AC.1,HF,AF,B365>2.5,B365<2.5,Date,Home_xG,Away_xG,FTR_encoded,FTR_A,FTR_D,FTR_H,ProbH,ProbD,ProbA,ShotDiff,CornerDiff,FoulDiff,xGDiff,Norm_ShotDiff,Norm_CornerDiff,Norm_FoulDiff,Norm_xGDiff
1079,4,3,H,10,3,9,4,1.53,4.5,6.5,9,4,9,12,,,2017-08-11,2.5,1.5,2,0,0,1,0.6347656250000001,0.2158203125,0.14941406250000003,7,5,-3,1.0,1.5887063897056373,0.8288223180937244,-0.5966813186223124,0.5735151169685229
1086,1,0,H,6,2,8,2,2.4,3.3,3.3,8,2,15,3,,,2017-08-12,1.3,0.5,2,0,0,1,0.40740740740740744,0.29629629629629634,0.29629629629629634,4,6,12,0.8,0.8274051025850323,1.0369010038851625,2.6133722237131116,0.41750895037497593
1085,3,3,D,4,5,3,3,6.0,4.2,1.62,3,3,14,8,,,2017-08-12,2.1,2.6,1,0,1,0,0.1630716134598792,0.23295944779982744,0.6039689387402933,-1,0,6,-0.5,-0.44143037594930895,-0.2115711108634663,1.329350806778942,-0.5965311324830794
1084,0,0,D,2,0,13,0,1.62,4.0,6.5,13,0,10,13,,,2017-08-12,2.0,0.3,1,0,1,0,0.6045105789351314,0.24482678446872821,0.15066263659614043,2,13,-3,1.7,0.3198709111712958,2.4934518044252294,-0.5966813186223124,1.1195367000459373
1080,0,2,A,2,4,3,10,11.0,5.5,1.33,3,10,6,9,,,2017-08-12,0.3,1.9,0,1,0,0,0.08872581721147432,0.17745163442294865,0.733822548365577,-2,-7,-3,-1.5999999999999999,-0.6951974716561772,-1.6681219114035333,-0.5966813186223124,-1.4545650487475876
1082,0,3,A,4,6,12,9,1.83,3.6,5.0,12,9,7,19,,,2017-08-12,1.1,1.5,0,1,0,0,0.5335230304108126,0.27120754045882983,0.19526942913035747,-2,3,-12,-0.3999999999999999,-0.6951974716561772,0.4126649465108481,-2.522713444023567,-0.5185280491863059
1081,2,3,A,6,5,8,5,1.25,6.5,15.0,8,5,16,11,,,2017-08-12,1.5,0.6,0,1,0,0,0.7839195979899497,0.1507537688442211,0.06532663316582914,1,3,5,0.9,0.06610381546442758,0.4126649465108481,1.1153472372899136,0.49551203367174934
1083,1,0,H,4,1,6,7,1.7,3.8,5.75,6,7,13,10,,,2017-08-12,0.6,0.4,2,0,0,1,0.5737166863594592,0.2566627281081791,0.16962058553236184,3,-1,3,0.19999999999999996,0.573638006878164,-0.41964979665490443,0.687340098311857,-0.05050954940566507
1087,4,0,H,6,1,11,1,1.3,5.75,12.0,11,1,19,7,,,2017-08-13,2.1,0.5,2,0,0,1,0.7493890849850665,0.1694270974748846,0.08118381754004887,5,10,12,1.6,1.0811721982919007,1.869215747050915,2.6133722237131116,1.0415336167491638
1088,0,2,A,3,6,5,7,5.5,4.0,1.7,5,7,6,10,,,2017-08-13,0.8,2.5,0,1,0,0,0.1782437745740498,0.24508519003931847,0.5766710353866318,-3,-2,-4,-1.7,-0.9489645673630455,-0.6277284824463426,-0.8106848881113408,-1.5325681320443612
1094,1,0,H,4,6,2,9,4.5,3.8,1.85,2,9,6,11,,,2017-08-19,0.7,1.5,2,0,0,1,0.21660761053766756,0.25650901247881686,0.5268833769835156,-2,-7,-5,-0.8,-0.6951974716561772,-1.6681219114035333,-1.024688457600369,-0.8305403823733998
1093,3,2,H,5,8,7,2,1.75,3.8,5.25,7,2,18,10,,,2017-08-19,2.1,2.0,2,0,0,1,0.5574572127139364,0.2567237163814181,0.1858190709046455,-3,5,8,0.10000000000000009,-0.9489645673630455,0.8288223180937244,1.7573579457569986,-0.12851263270243846
1095,0,4,A,1,8,3,5,11.0,5.0,1.36,3,5,12,11,,,2017-08-19,0.4,3.0,0,1,0,0,0.08858780614903597,0.19489317352787913,0.7165190203230849,-7,-2,1,-2.6,-1.9640329501905185,-0.6277284824463426,0.25933295933380063,-2.2345958817153226
1091,2,0,H,4,2,6,2,1.73,3.8,5.5,6,2,8,10,,,2017-08-19,2.0,0.2,2,0,0,1,0.5650328476033415,0.2572386385141528,0.1777285138825056,2,4,-2,1.8,0.3198709111712958,0.6207436323022862,-0.3826777491332842,1.1975397833427108
1090,0,1,A,0,1,5,5,2.63,3.2,3.0,5,5,11,11,,,2017-08-19,1.3,0.9,0,1,0,0,0.3705705242028874,0.30456264957924806,0.32486682621786456,-1,0,0,0.4,-0.44143037594930895,-0.2115711108634663,0.045329389844772354,0.10549661718788195
1089,0,2,A,2,7,8,5,2.0,3.6,4.0,8,5,6,14,,,2017-08-19,1.0,2.4,0,1,0,0,0.4864864864864865,0.2702702702702703,0.24324324324324326,-5,3,-8,-1.4,-1.456498758776782,0.4126649465108481,-1.6666991660674537,-1.2985588821540408
1092,1,0,H,13,1,4,2,1.36,5.25,9.5,4,2,12,13,,,2017-08-19,2.5,0.7,2,0,0,1,0.7131622220633446,0.18474297562021877,0.1020948023164367,12,2,-1,1.8,2.8575418682399785,0.20458626071940997,-0.1686741796442559,1.1975397833427108
1096,1,0,H,3,5,7,3,2.5,3.25,3.2,7,3,13,10,,,2017-08-20,0.3,0.7,2,0,0,1,0.3920829406220546,0.3016022620169651,0.30631479736098016,-2,4,3,-0.39999999999999997,-0.6951974716561772,0.6207436323022862,0.687340098311857,-0.5185280491863059
1097,1,2,A,6,2,14,3,2.1,3.6,3.75,14,3,14,21,,,2017-08-20,0.7,0.7,0,1,0,0,0.4665629860031104,0.2721617418351478,0.26127527216174184,4,11,-7,0.0,0.8274051025850323,2.0772944328423533,-1.4526955965784256,-0.206515715999212
1098,1,1,D,6,2,7,1,1.33,5.75,10.0,7,1,7,9,,,2017-08-21,1.1,0.6,1,0,1,0,0.7329742821632302,0.1695401383090602,0.09748557952770963,4,6,-2,0.5000000000000001,0.8274051025850323,1.0369010038851625,-0.3826777491332842,0.1834997004846555
1099,1,2,A,3,8,2,5,11.0,6.0,1.3,2,5,13,14,,,2017-08-26,0.5,1.4,0,1,0,0,0.08853575482406358,0.1623155505107832,0.7491486946651532,-5,-3,-1,-0.8999999999999999,-1.456498758776782,-0.8358071682377808,-0.1686741796442559,-0.9085434656701734
1100,0,2,A,3,3,1,1,1.95,3.5,4.33,1,1,9,6,,,2017-08-26,0.9,0.7,0,1,0,0,0.49813466563676106,0.27753217085476684,0.22433316350847204,0,0,3,0.20000000000000007,-0.1876632802424407,-0.2115711108634663,0.687340098311857,-0.05050954940566499
1101,0,0,D,6,3,5,4,3.9,3.4,2.1,5,4,10,10,,,2017-08-26,1.4,0.7,1,0,1,0,0.24973767051416584,0.28646379853095494,0.46379853095487933,3,1,0,0.7,0.573638006878164,-0.003492425072028173,0.045329389844772354,0.33950586707820235
1102,2,0,H,7,4,9,3,1.33,5.5,11.0,9,3,8,7,,,2017-08-26,2.8,0.9,2,0,0,1,0.733822548365577,0.17745163442294865,0.08872581721147432,3,6,1,1.9,0.573638006878164,1.0369010038851625,0.25933295933380063,1.2755428666394841
1103,3,0,H,8,3,7,5,2.3,3.4,3.4,7,5,17,11,,,2017-08-26,2.3,0.6,2,0,0,1,0.425,0.2875,0.2875,5,2,6,1.6999999999999997,1.0811721982919007,0.20458626071940997,1.329350806778942,1.1195367000459369
